date,symbol,asset_type,open,high,low,close,volume,daily_return,cumulative_return,drawdown
2026-01-06 00:00:00,bitcoin,crypto,93926.7956485658,93926.7956485658,93926.7956485658,93926.7956485658,0,2.794669907212999,-13.348959733952395,-24.722165000869836
2026-01-07 00:00:00,bitcoin,crypto,93666.86387314305,93666.86387314305,93666.86387314305,93666.86387314305,0,-0.27673868104188815,-13.588756679893732,-24.93048788856332
2026-01-08 00:00:00,bitcoin,crypto,91257.15544035907,91257.15544035907,91257.15544035907,91257.15544035907,0,-2.5726370384809183,-15.811804330958656,-26.86175396174906
2026-01-09 00:00:00,bitcoin,crypto,90983.51578142625,90983.51578142625,90983.51578142625,90983.51578142625,0,-0.29985556487310827,-16.064247320638543,-27.08106306254534
2026-01-10 00:00:00,bitcoin,crypto,90504.89560340019,90504.89560340019,90504.89560340019,90504.89560340019,0,-0.5260515313299963,-16.50579263294168,-27.464654246934376
2026-01-11 00:00:00,bitcoin,crypto,90442.01907847001,90442.01907847001,90442.01907847001,90442.01907847001,0,-0.06947306497728789,-16.56379861787807,-27.515046774820906
2026-01-12 00:00:00,bitcoin,crypto,90819.36598904192,90819.36598904192,90819.36598904192,90819.36598904192,0,0.4172252172350399,-16.215681745408837,-27.212621271264425
2026-01-13 00:00:00,bitcoin,crypto,91134.96917951507,91134.96917951507,91134.96917951507,91134.96917951507,0,0.3475064894322477,-15.924525802347562,-26.959680406694442
2026-01-14 00:00:00,bitcoin,crypto,95260.4422971001,95260.4422971001,95260.4422971001,95260.4422971001,0,4.526772933294998,-12.118619992828805,-23.653310988952516
2026-01-15 00:00:00,bitcoin,crypto,97007.78078881276,97007.78078881276,97007.78078881276,97007.78078881276,0,1.8342750144525022,-10.506633797001204,-22.252902748061114
2026-01-16 00:00:00,bitcoin,crypto,95584.82797878512,95584.82797878512,95584.82797878512,95584.82797878512,0,-1.4668439979318992,-11.81936186769711,-23.393331377667458
2026-01-17 00:00:00,bitcoin,crypto,95516.07771987123,95516.07771987123,95516.07771987123,95516.07771987123,0,-0.07192591164064677,-11.882786595564312,-23.448431422451605
2026-01-18 00:00:00,bitcoin,crypto,95099.53192554631,95099.53192554631,95099.53192554631,95099.53192554631,0,-0.43610018780980697,-12.267065928713825,-23.782272956789647
2026-01-19 00:00:00,bitcoin,crypto,93752.70577188236,93752.70577188236,93752.70577188236,93752.70577188236,0,-1.4162279523293408,-13.509564264430047,-24.861689711805667
2026-01-20 00:00:00,bitcoin,crypto,92558.46334372147,92558.46334372147,92558.46334372147,92558.46334372147,0,-1.273821825544652,-14.611298311838409,-25.81881790760215
2026-01-21 00:00:00,bitcoin,crypto,88312.84053255555,88312.84053255555,88312.84053255555,88312.84053255555,0,-4.586963371895592,-18.528046782011575,-29.22148155901961
